register;points;region_1;title;price;province;region_2;variety;winery
0;87;Etna                      ;Nicosia 2013 Vulkà Bianco  (Etna)                                                                 ;               ;Sicily & Sardinia;                 ;White Blend               ;Nicosia                        
6;87;Vittoria                  ;Terre di Giurfo 2013 Belsito Frappato (Vittoria)                                                  ;16;Sicily & Sardinia;                 ;Frappato                  ;Terre di Giurfo                
22;87;Sicilia                   ;Baglio di Pianetto 2007 Ficiligno White (Sicilia)                                                 ;19;Sicily & Sardinia;                 ;White Blend               ;Baglio di Pianetto             
24;87;Sicilia                   ;Canicattì 2009 Aynat Nero d'Avola (Sicilia)                                                       ;35;Sicily & Sardinia;                 ;Nero d'Avola              ;Canicattì                      
26;87;Terre Siciliane           ;Stemmari 2013 Dalila White (Terre Siciliane)                                                      ;13;Sicily & Sardinia;                 ;White Blend               ;Stemmari                       
28;87;Cerasuolo di Vittoria     ;Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)                                  ;17;Sicily & Sardinia;                 ;Red Blend                 ;Terre di Giurfo                
32;86;Sicilia                   ;Duca di Salaparuta 2011 Calanìca Grillo-Viognier White (Sicilia)                                  ;               ;Sicily & Sardinia;                 ;White Blend               ;Duca di Salaparuta             
38;86;Puglia                    ;Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)                                           ;11;Southern Italy   ;                 ;Primitivo                 ;Feudi di San Marzano           
40;86;Sicilia                   ;Feudo Montoni 2011 Catarratto (Sicilia)                                                           ;17;Sicily & Sardinia;                 ;Catarratto                ;Feudo Montoni                  
46;86;Sicilia                   ;Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)                                        ;13;Sicily & Sardinia;                 ;Inzolia                   ;Tasca d'Almerita               
50;86;Sicilia                   ;Viticultori Associati Canicatti 2008 Scialo Red (Sicilia)                                         ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Viticultori Associati Canicatti
52;85;Monica di Sardegna        ;Cantine di Dolianova 2010 Dolia  (Monica di Sardegna)                                             ;14;Sicily & Sardinia;                 ;Monica                    ;Cantine di Dolianova           
54;85;Sicilia                   ;Corvo 2010 Rosso Red (Sicilia)                                                                    ;               ;Sicily & Sardinia;                 ;Red Blend                 ;Corvo                          
72;86;Aglianico del Vulture     ;Grifalco 2013 Daginestra  (Aglianico del Vulture)                                                 ;32;Southern Italy   ;                 ;Aglianico                 ;Grifalco                       
88;86;Vernaccia di San Gimignano;Poggio Alloro 2014 Le Mandorle Riserva  (Vernaccia di San Gimignano)                              ;29;Tuscany          ;                 ;Vernaccia                 ;Poggio Alloro                  
98;88;Morellino di Scansano     ;Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano)                                    ;30;Tuscany          ;                 ;Sangiovese                ;Serpaia di Endrizzi            
104;87;Toscana                   ;Madonna Alta 2014 Nativo Red (Toscana)                                                            ;16;Tuscany          ;                 ;Red Blend                 ;Madonna Alta                   
106;87;Toscana                   ;Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana)                                           ;30;Tuscany          ;                 ;Red Blend                 ;Marchesi de' Frescobaldi       
112;87;Toscana                   ;Podere Ciona 2014 Semifonte Red (Toscana)                                                         ;15;Tuscany          ;                 ;Red Blend                 ;Podere Ciona                   
118;87;Toscana                   ;Tenuta Forconi 2013 Toscano Red (Toscana)                                                         ;80;Tuscany          ;                 ;Red Blend                 ;Tenuta Forconi                 
120;92;Barolo                    ;Ceretto 2003 Bricco Rocche Prapó  (Barolo)                                                        ;70;Piedmont         ;                 ;Nebbiolo                  ;Ceretto                        
130;91;Barolo                    ;Ceretto 2003 Bricco Rocche Brunate  (Barolo)                                                      ;70;Piedmont         ;                 ;Nebbiolo                  ;Ceretto                        
140;90;Barbera d'Alba            ;Poderi Colla 2005 Costa Bruna  (Barbera d'Alba)                                                   ;26;Piedmont         ;                 ;Barbera                   ;Poderi Colla                   
158;91;Chianti Classico          ;Castello di Gabbiano 2012 Bellezza Gran Selezione  (Chianti Classico)                             ;38;Tuscany          ;                 ;Sangiovese                ;Castello di Gabbiano           
182;88;Brunello di Montalcino    ;Abbadia Ardenga 2003 M. Vigna  (Brunello di Montalcino)                                           ;               ;Tuscany          ;                 ;Sangiovese Grosso         ;Abbadia Ardenga                
190;87;Campania                  ;Fattoria Alois 2007 Campole Red (Campania)                                                        ;26;Southern Italy   ;                 ;Red Blend                 ;Fattoria Alois                 
192;87;Rosso del Veronese        ;Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese)                                    ;20;Veneto           ;                 ;Red Blend                 ;Aldegheri                      
194;87;Chianti Classico          ;Campomaggio 2005  Chianti Classico                                                                ;               ;Tuscany          ;                 ;Sangiovese                ;Campomaggio                    
196;87;Vernaccia di San Gimignano;Cesani 2007 Pancole  (Vernaccia di San Gimignano)                                                 ;18;Tuscany          ;                 ;Vernaccia                 ;Cesani                         
200;90;Brunello di Montalcino    ;Tenuta di Sesta 2011 Riserva  (Brunello di Montalcino)                                            ;               ;Tuscany          ;                 ;Sangiovese                ;Tenuta di Sesta                
216;90;Brunello di Montalcino    ;Podere Scopetone 2012  Brunello di Montalcino                                                     ;57;Tuscany          ;                 ;Sangiovese                ;Podere Scopetone               
222;90;Brunello di Montalcino    ;Talenti 2011 Trentennale  (Brunello di Montalcino)                                                ;               ;Tuscany          ;                 ;Sangiovese                ;Talenti                        
234;85;Montepulciano d'Abruzzo   ;Talamonti 2007 Cerasuolo Rosè  (Montepulciano d'Abruzzo)                                          ;10;Central Italy    ;                 ;Montepulciano             ;Talamonti                      
268;89;Veneto                    ;Marchesi Fumanelli 2005 Terso White (Veneto)                                                      ;36;Veneto           ;                 ;White Blend               ;Marchesi Fumanelli             
